EUR.USD,EUR,IDEALPRO,USD,ignore,CASH,10000,100000,0.0001,4
AUD.USD,AUD,IDEALPRO,USD,ignore,CASH,10000,100000,0.0001,4
GBP.USD,GBP,IDEALPRO,USD,ignore,CASH,10000,100000,0.0001,4
ES,ES,GLOBEX,USD,20150918,FUT,1,2,0.25,0
NQ,NQ,GLOBEX,USD,20150918,FUT,1,2,0.25,0
USD.JPY,USD,IDEALPRO,JPY,ignore,CASH,100,100000,0.01,2
ESTX50,ESTX50,DTB,EUR,20150918,FUT,1,2,1,0
DAX,DAX,DTB,EUR,20150918,FUT,1,2,1,0
SMI,SMI,SOFFEX,CHF,20150918,FUT,1,2,1,0
USD.CAD,USD,IDEALPRO,CAD,ignore,CASH,10000,100000,0.0001,4
USD.CHF,USD,IDEALPRO,CHF,ignore,CASH,10000,100000,0.0001,4
ZD,ZD,,ECBOT,USD,20150917,FUT,1,2,1,0
KC,KC,NYBOT,USD,20150721,FUT,10000,100000,0.0001,4