"ALB","Albemarle Corpora","5/7/2014","4:02pm",68.50,68.46,68.69,68.00,555778,"60.16 - 70.00",0.995,1.46,14.50
"ALU","Alcatel-Lucent Co","5/7/2014","4:02pm",3.92,4.03,4.04,3.92,13837712,"1.42 - 4.68",0.175,4.40,N/A
"AA","Alcoa Inc. Common","5/7/2014","4:00pm",13.32,13.32,13.41,13.19,19789546,"7.63 - 13.89",0.12,0.90,N/A
"ALR","Alere Inc. Common","5/7/2014","4:03pm",35.25,35.25,35.46,34.82,723418,"24.00 - 39.90",0.00,N/A,N/A
"AMLP","Alerian MLP ETF","5/7/2014","4:00pm",18.24,18.14,18.24,18.05,2415254,"16.75 - 18.43",1.10,6.08,N/A
"ALEX","Alexander & Baldw","5/7/2014","4:00pm",37.84,37.45,37.86,36.93,349297,"33.01 - 46.23",0.24,0.64,46.09
"ARE","Alexandria Real E","5/7/2014","4:00pm",74.77,74.89,75.435,74.22,494050,"60.86 - 78.43",2.71,3.63,44.06
"AXU","Alexco Resource C","5/7/2014","4:00pm",1.32,1.41,1.41,1.32,129860,"0.90 - 2.43",0.00,N/A,N/A
"ALXN","Alexion Pharmaceu","5/7/2014","4:00pm",153.68,156.93,158.46,151.02,1154382,"87.01 - 185.43",0.00,N/A,94.11
"ALXA","Alexza Pharmaceut","5/7/2014","4:00pm",4.26,4.22,4.29,4.15,45508,"3.92 - 5.93",0.00,N/A,N/A
"ALGN","Align Technology,","5/7/2014","4:00pm",48.19,49.05,49.05,47.22,1444299,"33.84 - 65.10",0.00,N/A,29.27
"ALIM","Alimera Sciences,","5/7/2014","4:00pm",5.72,5.86,5.86,5.63,101623,"1.65 - 8.44",0.00,N/A,N/A
"ALKS","Alkermes plc","5/7/2014","4:00pm",45.91,46.78,47.135,45.06,963576,"26.47 - 54.25",0.00,N/A,N/A
"ATI","Allegheny Technol","5/7/2014","4:01pm",41.29,41.07,41.45,40.755,1155934,"25.60 - 41.65",0.72,1.75,35.53
"ALGT","Allegiant Travel ","5/7/2014","4:00pm",115.61,115.51,115.65,113.195,84591,"81.19 - 123.32",2.25,1.95,23.01
"ALLE","Allegion plc Ordi","5/7/2014","4:02pm",49.93,49.89,50.32,49.3431,597954,"40.24 - 55.78",0.08,0.16,N/A
"AGN","Allergan, Inc. Co","5/7/2014","4:00pm",165.87,166.32,167.98,163.18,2455919,"81.33 - 170.05",0.20,0.12,51.02
"ADS","Alliance Data Sys","5/7/2014","4:02pm",233.67,239.25,240.55,230.7883,1385026,"169.93 - 300.49",0.00,N/A,31.54
"AFOP","Alliance Fiber Op","5/7/2014","4:00pm",18.02,18.60,18.70,17.13,1184678,"7.555 - 23.94",0.15,0.81,15.76
"ARLP","Alliance Resource","5/7/2014","4:00pm",93.18,93.65,93.70,92.8975,49636,"64.22 - 96.04",4.749,5.10,12.39
"AB","Allianceberstein ","5/7/2014","4:02pm",24.42,24.49,24.699,24.28,310748,"18.77 - 27.38",1.79,7.32,14.27
"ATK","Alliant Techsyste","5/7/2014","4:06pm",153.58,154.13,154.66,151.25,319493,"73.03 - 158.13",1.10,0.72,15.65
"ANV","Allied Nevada Gol","5/7/2014","4:00pm",3.10,3.25,3.26,3.10,4446661,"3.01 - 10.00",0.00,N/A,328.00
"ALSN","Allison Transmiss","5/7/2014","4:02pm",29.64,29.92,30.09,29.29,1494843,"21.95 - 31.42",0.48,1.61,29.50
"ALLT","Allot Communicati","5/7/2014","4:00pm",12.58,12.66,12.75,12.31,208940,"11.28 - 18.09",0.00,N/A,N/A
"MDRX","Allscripts Health","5/7/2014","4:00pm",15.11,15.17,15.21,14.80,1754184,"12.54 - 19.68",0.00,N/A,N/A
"ALL","Allstate Corporat","5/7/2014","4:00pm",57.82,57.03,57.965,56.98,3056490,"45.60 - 57.97",1.03,1.82,11.76
"ALLY","Ally Financial In","5/7/2014","4:00pm",24.43,24.18,24.46,24.03,6174203,"23.76 - 27.9032",0.00,N/A,N/A
"AAU","Almaden Minerals,","5/7/2014","4:01pm",1.32,1.36,1.37,1.30,54340,"1.01 - 2.10",0.00,N/A,N/A
"AFAM","Almost Family Inc","5/7/2014","4:00pm",20.75,20.50,21.17,20.01,114512,"17.66 - 33.97",0.00,N/A,23.12
"ALJ","Alon USA Energy, ","5/7/2014","4:00pm",15.83,16.50,16.50,15.83,463460,"8.55 - 19.05",0.40,2.44,N/A
"ALDW","Alon USA Partners","5/7/2014","4:03pm",19.28,19.75,19.83,18.91,195619,"10.25 - 26.50",0.89,4.52,14.48
"AOSL","Alpha and Omega S","5/7/2014","4:00pm",7.06,7.14,7.19,6.93,88101,"6.80 - 8.96",0.00,N/A,N/A
"ANR","Alpha Natural Res","5/7/2014","4:00pm",4.25,4.45,4.50,4.25,8476767,"4.12 - 8.30",0.00,N/A,N/A
"ATEC","Alphatec Holdings","5/7/2014","4:00pm",1.27,1.35,1.41,1.27,442167,"1.16 - 2.53",0.00,N/A,N/A
"ALTR","Altera Corporatio","5/7/2014","4:00pm",32.32,32.13,32.34,31.89,3510143,"30.73 - 39.18",0.45,1.40,23.60
"ASPS","Altisource Portfo","5/7/2014","4:00pm",95.36,97.96,98.51,94.56,228880,"89.60 - 171.00",0.00,N/A,17.22
"RESI","Altisource Reside","5/7/2014","4:07pm",25.62,26.21,26.68,25.19,1772531,"15.41 - 35.05",0.83,3.16,11.55
"MO","Altria Group, Inc","5/7/2014","4:00pm",40.06,39.95,40.18,39.87,7257409,"33.12 - 40.34",1.88,4.73,18.41
"AWCMY","ALUMINA LTD ADS","5/7/2014","3:58pm",4.92,4.99,4.99,4.86,25819,"3.35 - 5.24",0.00,N/A,N/A
"ACH","Aluminum Corporat","5/7/2014","4:00pm",8.96,8.99,9.00,8.95,46275,"7.25 - 10.73",0.00,N/A,N/A
"ALNY","Alnylam Pharmaceu","5/7/2014","4:00pm",51.61,51.66,52.20,49.53,940209,"24.56 - 112.57",0.00,N/A,N/A
"AMAG","AMAG Pharmaceutic","5/7/2014","4:00pm",18.65,18.48,18.99,17.92,327053,"16.49 - 28.42",0.00,N/A,N/A
"AMRN","Amarin Corporatio","5/7/2014","4:00pm",1.58,1.63,1.66,1.56,1834434,"1.36 - 7.98",0.00,N/A,N/A
"AMZN","Amazon.com, Inc.","5/7/2014","4:00pm",292.71,295.56,296.40,286.68,7016937,"256.88 - 408.06",0.00,N/A,463.93
"AMBC","Ambac Financial G","5/7/2014","4:00pm",29.61,29.45,29.69,28.71,526067,"15.03 - 35.61",0.00,N/A,1.00
"AMBA","Ambarella, Inc.","5/7/2014","4:00pm",22.87,23.00,23.37,21.91,1028079,"13.16 - 36.49",0.00,N/A,27.10
"EPAX","Ambassadors Group","5/7/2014","3:59pm",3.62,3.76,3.73,3.62,15602,"3.30 - 5.34",0.00,N/A,N/A
"ABEV","Ambev S.A. Americ","5/7/2014","4:04pm",7.28,7.37,7.38,7.21,12376019,"6.23 - 8.564",0.2202,2.97,22.25
"AMC","AMC Entertainment","5/7/2014","4:01pm",22.02,22.24,22.50,21.70,203975,"18.81 - 26.68",0.00,N/A,4.92
"AMCX","AMC Networks Inc.","5/7/2014","4:00pm",65.52,66.27,66.77,64.325,782563,"61.01 - 78.39",0.00,N/A,16.47
"ACO","Amcol Internation","5/7/2014","4:00pm",45.74,45.74,45.78,45.73,196146,"29.48 - 47.26",0.80,1.75,49.60
"DOX","Amdocs Limited","5/7/2014","4:00pm",47.35,47.25,47.4594,46.77,708891,"35.07 - 48.71",0.545,1.16,18.21
"AMED","Amedisys Inc","5/7/2014","4:00pm",13.50,13.53,13.65,13.23,606657,"9.51 - 18.70",0.00,N/A,N/A
"AXL","American Axle & M","5/7/2014","4:02pm",17.62,17.85,17.93,17.37,1718323,"15.28 - 21.48",0.00,N/A,11.35
"AEO","American Eagle Ou","5/7/2014","4:03pm",10.93,11.14,11.14,10.77,4682837,"10.77 - 21.07",0.50,4.55,25.58
"ASEI","American Science ","5/7/2014","4:00pm",65.69,65.90,65.90,64.65,24880,"55.28 - 74.75",2.00,3.04,43.77
"ASX","Advanced Semicond","5/7/2014","4:00pm",5.83,5.81,5.84,5.79,218655,"3.87 - 5.93",0.352,6.00,16.54
"AEE","Ameren Corporatio","5/7/2014","4:01pm",40.98,40.24,41.07,40.24,1634410,"32.34 - 42.24",1.60,3.97,33.95
"AMRC","Ameresco, Inc. Cl","5/7/2014","4:00pm",6.17,6.20,6.38,5.90,200750,"5.90 - 10.88",0.00,N/A,124.20
"AMX","America Movil, S.","5/7/2014","4:00pm",20.19,20.39,20.40,20.18,6475372,"18.40 - 23.75",0.339,1.66,15.46
"CRMT","America's Car-Mar","5/7/2014","4:00pm",35.94,35.90,36.11,35.50,14853,"34.56 - 49.21",0.00,N/A,14.45
"AAL","American Airlines","5/7/2014","4:00pm",37.22,36.58,37.31,36.31,7800951,"15.28 - 39.88",0.00,N/A,N/A
"APP","American Apparel ","5/7/2014","4:00pm",0.5603,0.57,0.61,0.55,2661210,"0.46 - 2.17",0.00,N/A,N/A
"AAT","American Assets T","5/7/2014","4:00pm",34.48,34.07,34.55,33.82,171631,"28.65 - 35.72",0.86,2.54,82.13
"ACC","American Campus C","5/7/2014","4:00pm",39.26,39.00,39.39,38.90,691244,"31.64 - 45.39",1.44,3.70,36.92
"AGNC","American Capital ","5/7/2014","4:00pm",23.10,22.72,23.10,22.70,4677756,"18.84 - 31.05",3.80,16.73,9.85
"MTGE","American Capital ","5/7/2014","4:00pm",20.13,19.79,20.14,19.79,344263,"16.01 - 25.03",2.80,14.13,N/A
"ACAS","American Capital,","5/7/2014","4:00pm",15.95,15.25,16.03,15.25,11523463,"11.82 - 16.37",0.00,N/A,24.61
"AMZG","American Eagle En","5/7/2014","4:00pm",6.68,6.99,7.03,6.61,146844,"6.44 - 12.00",0.00,N/A,63.36
"AEP","American Electric","5/7/2014","4:00pm",53.50,52.51,53.52,52.36,3366799,"41.83 - 54.64",1.99,3.80,15.21
"AXP","American Express ","5/7/2014","4:00pm",87.98,86.76,88.05,86.11,4601515,"69.34 - 94.35",0.92,1.07,17.04
"AMH","American Homes 4 ","5/7/2014","4:02pm",16.97,16.80,17.02,16.64,2210079,"15.10 - 17.60",0.10,0.60,N/A
"AIG","American Internat","5/7/2014","4:01pm",51.66,50.76,52.03,50.76,15405449,"41.53 - 53.33",0.325,0.64,8.81
"APEI","American Public E","5/7/2014","4:00pm",34.10,34.14,34.37,33.28,88181,"32.51 - 46.69",0.00,N/A,14.44
"ARII","American Railcar ","5/7/2014","4:00pm",55.73,57.65,58.00,55.00,494115,"29.86 - 77.50",1.15,2.00,13.72
"ARCP","American Realty C","5/7/2014","4:00pm",12.93,12.82,12.98,12.75,8888189,"12.13 - 18.05",1.025,7.97,N/A
"ARPI","American Resident","5/7/2014","4:02pm",18.20,18.23,18.32,18.11,246616,"16.21 - 21.05",0.00,N/A,N/A
"AWR","American States W","5/7/2014","4:00pm",29.29,29.50,29.50,28.66,190040,"25.07 - 33.085",0.786,2.66,18.41
"AMSC","American Supercon","5/7/2014","4:00pm",1.28,1.28,1.29,1.26,780365,"1.26 - 3.06",0.00,N/A,N/A
"AMT","American Tower Co","5/7/2014","4:00pm",88.35,88.34,88.88,87.59,2843333,"67.89 - 88.88",1.16,1.33,59.73
"AVD","American Vanguard","5/7/2014","4:02pm",14.81,15.00,15.19,14.73,376596,"14.46 - 32.34",0.20,1.32,22.54
"AWK","American Water Wo","5/7/2014","4:01pm",46.92,46.29,46.94,46.275,1073800,"38.91 - 46.94",1.12,2.43,22.40
"AMWD","American Woodmark","5/7/2014","3:59pm",28.36,29.04,29.04,28.14,107897,"28.14 - 39.97",0.00,N/A,22.48
"APU","AmeriGas Partners","5/7/2014","4:01pm",44.64,45.84,46.04,44.62,399570,"40.96 - 50.45",3.40,7.41,19.54
"AMP","Ameriprise Financ","5/7/2014","4:01pm",111.58,110.37,111.69,109.295,1036872,"76.39 - 116.82",2.14,1.94,16.02
"ABC","AmerisourceBergen","5/7/2014","4:04pm",64.54,64.87,64.96,64.26,1946748,"52.38 - 71.92",0.89,1.37,34.58
"AME","AMETEK, Inc.","5/7/2014","4:01pm",53.02,52.56,53.09,52.23,1118766,"39.46 - 54.40",0.24,0.46,25.00
"AMGN","Amgen Inc.","5/7/2014","4:00pm",112.77,111.91,112.84,110.78,2823929,"94.15 - 128.96",2.02,1.80,18.23
"FOLD","Amicus Therapeuti","5/7/2014","4:00pm",2.10,2.15,2.20,2.05,416424,"1.77 - 3.79",0.00,N/A,N/A
"ANFI","Amira Nature Food","5/7/2014","4:01pm",14.54,14.00,14.54,13.77,155753,"7.42 - 25.00",0.00,N/A,17.38
"AMKR","Amkor Technology,","5/7/2014","4:00pm",8.64,8.56,8.67,8.24,3051161,"3.91 - 8.81",0.00,N/A,16.53
"AHS","AMN Healthcare Se","5/7/2014","4:00pm",10.60,10.77,10.81,10.48,437332,"10.48 - 16.20",0.00,N/A,15.65
"APH","Amphenol Corporat","5/7/2014","4:03pm",95.67,95.48,95.71,94.13,657718,"74.06 - 96.67",0.705,0.74,24.07
"AMPE","Ampio Pharmaceuti","5/7/2014","4:05pm",5.81,6.02,6.03,5.67,588791,"4.31 - 10.86",0.00,N/A,N/A
"ASYS","Amtech Systems, I","5/7/2014","4:00pm",9.34,9.62,9.55,9.04,55079,"3.70 - 13.74",0.00,N/A,N/A
"AFSI","AmTrust Financial","5/7/2014","4:00pm",43.20,43.11,43.62,42.64,667112,"27.90 - 44.68",0.5943,1.38,11.18
"AMRS","Amyris, Inc.","5/7/2014","4:00pm",3.105,3.15,3.20,2.84,611566,"2.17 - 6.11",0.00,N/A,N/A
"APC","Anadarko Petroleu","5/7/2014","4:04pm",101.90,103.345,104.38,101.72,5432138,"73.60 - 104.84",0.63,0.61,65.02
