sym,pnl,trdp,clp,qty,bysell,usym,tdate,spareflag
CCJ,-0.0,1.0,1.0,1.0,BUY,CCJ,06/05/2014,spareflag
CCJ,-0.0,1.0,1.0,1.0,BUY,CCJ,06/05/2014,spareflag
CCJ....JUL.19.2014....18.000.C,-9.999999999999986,1.2,1.1,1.0,BUY,CCJ,06/05/2014,spareflag
CCJ,0.29999999999999716,19.36,19.21,-2.0,SELL,CCJ,06/06/2014,spareflag
CCJ....JUL.19.2014....18.000.C,7.499999999999996,1.5,1.425,-1.0,SELL,CCJ,06/06/2014,spareflag
CCJ....JUL.19.2014....19.000.P,-5.000000000000004,0.55,0.5,1.0,BUY,CCJ,06/09/2014,spareflag
CCJ....JUL.19.2014....20.000.C,-2.500000000000002,0.5,0.475,1.0,BUY,CCJ,06/09/2014,spareflag
DISH,-0.999999999999801,59.39,59.4,-100.0,SELL,DISH,06/10/2014,spareflag
DISH,0.6899999999998627,59.39,59.4,69.0,BUY,DISH,06/10/2014,spareflag
DISH...DEC.20.2014....35.000.P,-12.5,0.4,0.275,1.0,BUY,DISH,06/10/2014,spareflag
DISH...DEC.20.2014....40.000.P,-12.5,0.75,0.625,1.0,BUY,DISH,06/10/2014,spareflag
DISH...DEC.20.2014....45.000.C,-80.00000000000007,16.0,15.2,1.0,BUY,DISH,06/10/2014,spareflag
DISH...DEC.20.2014....45.000.P,-17.500000000000004,1.5,1.325,1.0,BUY,DISH,06/10/2014,spareflag
DISH...DEC.20.2014....50.000.P,-25.0,2.7,2.45,1.0,BUY,DISH,06/10/2014,spareflag
GMCR,-6.000000000000227,115.32,115.38,-100.0,SELL,GMCR,06/10/2014,spareflag
GMCR,-4.999999999999716,115.33,115.38,-100.0,SELL,GMCR,06/10/2014,spareflag
GMCR,45.000000000000284,115.83,115.38,-100.0,SELL,GMCR,06/10/2014,spareflag
GMCR,46.999999999999886,115.85,115.38,-100.0,SELL,GMCR,06/10/2014,spareflag
GMCR,81.00000000000023,116.19,115.38,-100.0,SELL,GMCR,06/10/2014,spareflag
GMCR,-9.600000000000364,115.62,115.38,40.0,BUY,GMCR,06/10/2014,spareflag
GMCR,140.99999999999966,113.97,115.38,100.0,BUY,GMCR,06/10/2014,spareflag
GMCR,136.99999999999903,114.01,115.38,100.0,BUY,GMCR,06/10/2014,spareflag
GMCR...JUN.21.2014...105.000.P,-120.0,0.44,0.38,20.0,BUY,GMCR,06/10/2014,spareflag
GMCR...JUL.19.2014...110.000.P,-27.499999999999993,3.0,3.275,-1.0,SELL,GMCR,06/10/2014,spareflag
GMCR...JUL.19.2014...115.000.P,-47.50000000000006,5.05,5.525,-1.0,SELL,GMCR,06/10/2014,spareflag
GMCR...JUL.19.2014...120.000.C,37.5,3.95,3.575,-1.0,SELL,GMCR,06/10/2014,spareflag
GMCR...JUL.19.2014...120.000.P,-52.500000000000036,7.85,8.375,-1.0,SELL,GMCR,06/10/2014,spareflag
GMCR...SEP.20.2014...130.000.C,-34.99999999999987,5.45,5.4,7.0,BUY,GMCR,06/10/2014,spareflag
GMCR...DEC.20.2014...130.000.P,-7.499999999999929,24.0,24.075,-1.0,SELL,GMCR,06/10/2014,spareflag
GMCR...DEC.20.2014...130.000.P,-7.499999999999929,24.0,24.075,-1.0,SELL,GMCR,06/10/2014,spareflag
DISH,1.5000000000000568,59.53,59.5,-50.0,SELL,DISH,06/11/2014,spareflag
DISH,2.499999999999858,59.55,59.5,-50.0,SELL,DISH,06/11/2014,spareflag
DISH,47.99999999999969,59.02,59.5,100.0,BUY,DISH,06/11/2014,spareflag
DISH,45.000000000000284,59.05,59.5,100.0,BUY,DISH,06/11/2014,spareflag
DISH,22.999999999999687,59.27,59.5,100.0,BUY,DISH,06/11/2014,spareflag
DISH...JUN.21.2014....55.000.P,-37.50000000000001,0.15,0.225,-5.0,SELL,DISH,06/11/2014,spareflag
DISH...JUN.13.2014....56.500.P,-37.5,0.15,0.075,5.0,BUY,DISH,06/11/2014,spareflag
DISH...DEC.20.2014....45.000.C,-25.0,15.4,15.65,-1.0,SELL,DISH,06/11/2014,spareflag
DISH...DEC.20.2014....50.000.C,-19.99999999999993,11.5,11.7,-1.0,SELL,DISH,06/11/2014,spareflag
JCP,1.4999999999998792,8.675,8.69,100.0,BUY,JCP,06/11/2014,spareflag
JCP....JUN.21.2014.....9.000.P,-2.0000000000000018,0.45,0.43,1.0,BUY,JCP,06/11/2014,spareflag
JCP....JUN.21.2014.....9.000.P,-2.0000000000000018,0.45,0.43,1.0,BUY,JCP,06/11/2014,spareflag
SPY....JUN.21.2014...162.000.P,-0.0,1.0,1.0,1.0,BUY,SPY,06/11/2014,spareflag
WMB,0.0,46.78,46.78,-100.0,SELL,WMB,06/11/2014,spareflag
WMB....NOV.22.2014....45.000.C,2.499999999999991,3.4,3.425,1.0,BUY,WMB,06/11/2014,spareflag
DISH,-21.000000000000085,58.83,59.04,-100.0,SELL,DISH,06/12/2014,spareflag
DISH,-14.0799999999997,58.88,59.04,-88.0,SELL,DISH,06/12/2014,spareflag
DISH,-1.919999999999959,58.88,59.04,-12.0,SELL,DISH,06/12/2014,spareflag
DISH,1.999999999999602,59.02,59.04,100.0,BUY,DISH,06/12/2014,spareflag
DISH,-10.000000000000142,59.14,59.04,100.0,BUY,DISH,06/12/2014,spareflag
DISH,-10.999999999999943,59.15,59.04,100.0,BUY,DISH,06/12/2014,spareflag
DISH,-38.000000000000256,59.42,59.04,100.0,BUY,DISH,06/12/2014,spareflag
DISH,-38.000000000000256,59.42,59.04,100.0,BUY,DISH,06/12/2014,spareflag
DISH,-39.00000000000006,59.43,59.04,100.0,BUY,DISH,06/12/2014,spareflag
DISH,-30.000000000000426,59.14,59.04,300.0,BUY,DISH,06/12/2014,spareflag
DISH,-117.00000000000017,59.43,59.04,300.0,BUY,DISH,06/12/2014,spareflag
DISH...JUN.21.2014....61.000.C,150.00000000000014,0.55,0.475,-20.0,SELL,DISH,06/12/2014,spareflag
DISH...AUG.01.2014....59.500.C,37.500000000000085,3.1,3.025,-5.0,SELL,DISH,06/12/2014,spareflag
DISH...AUG.01.2014....60.000.C,0.0,2.85,2.85,-1.0,SELL,DISH,06/12/2014,spareflag
DISH...AUG.01.2014....61.000.C,25.000000000000135,2.45,2.4,-5.0,SELL,DISH,06/12/2014,spareflag
DISH...AUG.01.2014....61.500.C,2.499999999999991,2.3,2.275,-1.0,SELL,DISH,06/12/2014,spareflag
DISH...AUG.01.2014....65.500.C,-12.499999999999956,1.25,1.275,-5.0,SELL,DISH,06/12/2014,spareflag
DISH...AUG.01.2014....65.500.C,37.49999999999998,1.2,1.275,5.0,BUY,DISH,06/12/2014,spareflag
GILD,6.000000000000227,80.52,80.58,100.0,BUY,GILD,06/12/2014,spareflag
GILD,6.000000000000227,80.52,80.58,100.0,BUY,GILD,06/12/2014,spareflag
GILD...JUL.19.2014....77.500.P,-1.0000000000000009,1.37,1.36,1.0,BUY,GILD,06/12/2014,spareflag
GILD...JUL.19.2014....85.000.C,0.5000000000000004,0.98,0.985,1.0,BUY,GILD,06/12/2014,spareflag
GILD...NOV.22.2014....62.500.C,-2.500000000000213,19.15,19.175,-1.0,SELL,GILD,06/12/2014,spareflag
GILD...NOV.22.2014....62.500.C,-2.500000000000213,19.15,19.175,-1.0,SELL,GILD,06/12/2014,spareflag
GMCR,-320.0000000000003,117.55,120.75,-100.0,SELL,GMCR,06/12/2014,spareflag
GMCR,-265.99999999999966,118.09,120.75,-100.0,SELL,GMCR,06/12/2014,spareflag
GMCR,-265.00000000000057,118.1,120.75,-100.0,SELL,GMCR,06/12/2014,spareflag
GMCR,-260.99999999999994,118.14,120.75,-100.0,SELL,GMCR,06/12/2014,spareflag
GMCR,-254.99999999999972,118.2,120.75,-100.0,SELL,GMCR,06/12/2014,spareflag
GMCR,-243.99999999999977,118.31,120.75,-100.0,SELL,GMCR,06/12/2014,spareflag
GMCR,-10.500000000000043,121.45,120.75,15.0,BUY,GMCR,06/12/2014,spareflag
GMCR,-59.50000000000024,121.45,120.75,85.0,BUY,GMCR,06/12/2014,spareflag
GMCR,259.99999999999943,118.15,120.75,100.0,BUY,GMCR,06/12/2014,spareflag
GMCR,259.99999999999943,118.15,120.75,100.0,BUY,GMCR,06/12/2014,spareflag
GMCR,185.99999999999994,118.89,120.75,100.0,BUY,GMCR,06/12/2014,spareflag
GMCR,20.000000000000284,120.55,120.75,100.0,BUY,GMCR,06/12/2014,spareflag
GMCR,15.999999999999659,120.59,120.75,100.0,BUY,GMCR,06/12/2014,spareflag
GMCR,9.999999999999432,120.65,120.75,100.0,BUY,GMCR,06/12/2014,spareflag
GMCR,7.500000000000284,120.675,120.75,100.0,BUY,GMCR,06/12/2014,spareflag
GMCR,-31.000000000000227,121.06,120.75,100.0,BUY,GMCR,06/12/2014,spareflag
GMCR,-165.00000000000057,122.4,120.75,100.0,BUY,GMCR,06/12/2014,spareflag
GMCR,-88.50000000000051,121.045,120.75,300.0,BUY,GMCR,06/12/2014,spareflag
GMCR...JUN.21.2014...120.000.C,-2692.4999999999995,2.13,3.925,-15.0,SELL,GMCR,06/12/2014,spareflag
GMCR...JUL.19.2014...110.000.C,2272.5,10.5,13.025,9.0,BUY,GMCR,06/12/2014,spareflag
GMCR...JUL.19.2014...115.000.C,49.99999999999982,9.75,9.65,-5.0,SELL,GMCR,06/12/2014,spareflag
GMCR...JUL.19.2014...115.000.C,9.999999999999964,9.75,9.65,-1.0,SELL,GMCR,06/12/2014,spareflag
GMCR...JUL.19.2014...135.000.C,-314.9999999999999,1.84,2.19,-9.0,SELL,GMCR,06/12/2014,spareflag
GMCR...AUG.01.2014...129.000.C,179.00000000000006,2.86,4.65,1.0,BUY,GMCR,06/12/2014,spareflag
GMCR...AUG.01.2014...129.000.C,179.00000000000006,2.86,4.65,1.0,BUY,GMCR,06/12/2014,spareflag
GMCR...AUG.01.2014...129.000.C,179.00000000000006,2.86,4.65,1.0,BUY,GMCR,06/12/2014,spareflag
GMCR...AUG.01.2014...129.000.C,358.0000000000001,2.86,4.65,2.0,BUY,GMCR,06/12/2014,spareflag
GMCR...AUG.01.2014...129.000.C,537.0000000000001,2.86,4.65,3.0,BUY,GMCR,06/12/2014,spareflag
GMCR...AUG.16.2014...160.000.C,-41.99999999999999,1.5,1.29,2.0,BUY,GMCR,06/12/2014,spareflag
GMCR...JAN.17.2015...130.000.C,360.00000000000085,12.65,12.2,-8.0,SELL,GMCR,06/12/2014,spareflag
DISH,-2.5599999999999454,59.12,58.96,16.0,BUY,DISH,06/13/2014,spareflag
DISH,-2.719999999999942,59.12,58.96,17.0,BUY,DISH,06/13/2014,spareflag
DISH,1.8000000000001535,58.91,58.96,36.0,BUY,DISH,06/13/2014,spareflag
DISH,3.200000000000273,58.91,58.96,64.0,BUY,DISH,06/13/2014,spareflag
DISH,-10.719999999999771,59.12,58.96,67.0,BUY,DISH,06/13/2014,spareflag
DISH,5.000000000000426,58.91,58.96,100.0,BUY,DISH,06/13/2014,spareflag
DISH,5.000000000000426,58.91,58.96,100.0,BUY,DISH,06/13/2014,spareflag
DISH,5.000000000000426,58.91,58.96,100.0,BUY,DISH,06/13/2014,spareflag
DISH,5.000000000000426,58.91,58.96,100.0,BUY,DISH,06/13/2014,spareflag
DISH,5.000000000000426,58.91,58.96,100.0,BUY,DISH,06/13/2014,spareflag
DISH,5.000000000000426,58.91,58.96,100.0,BUY,DISH,06/13/2014,spareflag
DISH,-0.999999999999801,58.97,58.96,100.0,BUY,DISH,06/13/2014,spareflag
DISH,-15.999999999999659,59.12,58.96,100.0,BUY,DISH,06/13/2014,spareflag
DISH,-15.999999999999659,59.12,58.96,100.0,BUY,DISH,06/13/2014,spareflag
DISH,-17.00000000000017,59.13,58.96,100.0,BUY,DISH,06/13/2014,spareflag
DISH...JUN.21.2014....57.500.C,-100.00000000000009,2.1,2.2,-10.0,SELL,DISH,06/13/2014,spareflag
DISH...JUL.19.2014....62.500.C,-175.00000000000006,1.5,1.85,-5.0,SELL,DISH,06/13/2014,spareflag
DISH...JUL.19.2014....62.500.C,-175.00000000000006,1.5,1.85,-5.0,SELL,DISH,06/13/2014,spareflag
DISH...JUL.19.2014....62.500.C,24.99999999999991,1.9,1.85,-5.0,SELL,DISH,06/13/2014,spareflag
DISH...JUL.19.2014....62.500.C,-35.00000000000001,1.5,1.85,-1.0,SELL,DISH,06/13/2014,spareflag
GMCR,65.25000000000013,118.35,119.8,45.0,BUY,GMCR,06/13/2014,spareflag
GMCR,79.75000000000016,118.35,119.8,55.0,BUY,GMCR,06/13/2014,spareflag
GMCR,146.9999999999999,118.33,119.8,100.0,BUY,GMCR,06/13/2014,spareflag
GMCR,146.9999999999999,118.33,119.8,100.0,BUY,GMCR,06/13/2014,spareflag
GMCR,145.00000000000028,118.35,119.8,100.0,BUY,GMCR,06/13/2014,spareflag
GMCR,145.00000000000028,118.35,119.8,100.0,BUY,GMCR,06/13/2014,spareflag
GMCR,145.00000000000028,118.35,119.8,100.0,BUY,GMCR,06/13/2014,spareflag
GMCR,21.999999999999886,119.58,119.8,100.0,BUY,GMCR,06/13/2014,spareflag
GMCR,20.999999999999375,119.59,119.8,100.0,BUY,GMCR,06/13/2014,spareflag
GMCR,20.999999999999375,119.59,119.8,100.0,BUY,GMCR,06/13/2014,spareflag
GMCR,-51.9999999999996,120.32,119.8,100.0,BUY,GMCR,06/13/2014,spareflag
GMCR,-53.000000000000114,120.33,119.8,100.0,BUY,GMCR,06/13/2014,spareflag
GMCR,65.99999999999966,119.58,119.8,300.0,BUY,GMCR,06/13/2014,spareflag
GMCR...JUN.21.2014...121.000.P,-600.0000000000001,3.9,3.3,10.0,BUY,GMCR,06/13/2014,spareflag
GMCR...JUL.19.2014...115.000.P,-12.5,3.85,3.725,1.0,BUY,GMCR,06/13/2014,spareflag
GMCR...JUL.19.2014...120.000.P,-4.999999999999982,6.1,6.05,1.0,BUY,GMCR,06/13/2014,spareflag
GMCR...JUL.19.2014...120.000.P,-24.99999999999991,6.1,6.05,5.0,BUY,GMCR,06/13/2014,spareflag
GMCR...DEC.20.2014...110.000.P,-990.0000000000013,11.05,10.5,18.0,BUY,GMCR,06/13/2014,spareflag
IBN,93.99999999999977,49.68,50.15,200.0,BUY,IBN,06/13/2014,spareflag
IBN....JUL.19.2014....50.000.C,-72.50000000000001,1.45,1.595,-5.0,SELL,IBN,06/13/2014,spareflag
IBN....JUL.19.2014....50.000.C,-14.500000000000002,1.45,1.595,-1.0,SELL,IBN,06/13/2014,spareflag
DISH...JUN.13.2014....56.500.P,0.0,0.0,0.0,-5.0,OX,DISH,06/16/2014,spareflag
DISH...SEP.20.2014....80.000.C,-4.999999999999993,0.6,0.55,1.0,BUY,DISH,06/16/2014,spareflag
DISH...SEP.20.2014....80.000.C,-19.99999999999997,0.6,0.55,4.0,BUY,DISH,06/16/2014,spareflag
DISH...SEP.20.2014....80.000.C,-24.999999999999968,0.6,0.55,5.0,BUY,DISH,06/16/2014,spareflag
DISH...SEP.20.2014....80.000.C,-24.999999999999968,0.6,0.55,5.0,BUY,DISH,06/16/2014,spareflag
DISH...SEP.20.2014....80.000.C,-24.999999999999968,0.6,0.55,5.0,BUY,DISH,06/16/2014,spareflag
DISH...SEP.20.2014....80.000.C,-29.99999999999996,0.6,0.55,6.0,BUY,DISH,06/16/2014,spareflag
DISH...SEP.20.2014....80.000.C,-49.999999999999936,0.6,0.55,10.0,BUY,DISH,06/16/2014,spareflag
IBN,7.000000000000028,48.9,48.97,100.0,BUY,IBN,06/16/2014,spareflag
IBN,7.000000000000028,48.9,48.97,100.0,BUY,IBN,06/16/2014,spareflag
IBN,-3.9999999999999147,49.01,48.97,100.0,BUY,IBN,06/16/2014,spareflag
IBN....JUN.21.2014....49.000.P,-4.5000000000000036,0.62,0.665,-1.0,SELL,IBN,06/16/2014,spareflag
IBN....JUN.21.2014....50.000.P,-10.000000000000009,1.3,1.28,5.0,BUY,IBN,06/16/2014,spareflag
SD.....JAN.17.2015.....7.000.C,2.0000000000000018,0.77,0.79,1.0,BUY,SD,06/16/2014,spareflag
WMB,27.999999999998693,56.16,56.02,-200.0,SHORT SELL,WMB,06/16/2014,spareflag
WMB,37.999999999999545,56.4,56.02,-100.0,SHORT SELL,WMB,06/16/2014,spareflag
WMB,38.999999999999346,56.41,56.02,-100.0,SHORT SELL,WMB,06/16/2014,spareflag
WMB,38.999999999999346,56.41,56.02,-100.0,SHORT SELL,WMB,06/16/2014,spareflag
WMB,38.999999999999346,56.41,56.02,-100.0,SHORT SELL,WMB,06/16/2014,spareflag
WMB,38.999999999999346,56.41,56.02,-100.0,SHORT SELL,WMB,06/16/2014,spareflag
WMB,38.999999999999346,56.41,56.02,-100.0,SHORT SELL,WMB,06/16/2014,spareflag
WMB,3.500000000000014,55.95,56.02,50.0,BUY,WMB,06/16/2014,spareflag
WMB,3.500000000000014,55.95,56.02,50.0,BUY,WMB,06/16/2014,spareflag
WMB,3.500000000000014,55.95,56.02,50.0,BUY,WMB,06/16/2014,spareflag
WMB,3.500000000000014,55.95,56.02,50.0,BUY,WMB,06/16/2014,spareflag
WMB,-32.00000000000003,56.34,56.02,100.0,BUY,WMB,06/16/2014,spareflag
WMB....JUN.21.2014....54.000.P,-52.500000000000014,0.4,0.295,5.0,BUY,WMB,06/16/2014,spareflag
WMB....JUN.21.2014....60.000.C,-21.999999999999996,0.35,0.13,1.0,BUY,WMB,06/16/2014,spareflag
WMB....JUL.19.2014....55.000.P,27.499999999999968,1.25,1.195,-5.0,SELL,WMB,06/16/2014,spareflag
WMB....AUG.16.2014....45.000.C,0.0,11.15,11.15,-1.0,SELL,WMB,06/16/2014,spareflag
WMB....AUG.16.2014....45.000.C,0.0,11.15,11.15,-1.0,SELL,WMB,06/16/2014,spareflag
WMB....AUG.16.2014....60.000.C,-10.999999999999998,1.0,0.89,1.0,BUY,WMB,06/16/2014,spareflag
WMB....AUG.16.2014....60.000.C,-11.99999999999999,0.95,0.89,2.0,BUY,WMB,06/16/2014,spareflag
WMB....NOV.22.2014....44.000.C,-27.500000000000036,12.5,12.225,1.0,BUY,WMB,06/16/2014,spareflag
WMB....NOV.22.2014....44.000.C,-137.50000000000017,12.5,12.225,5.0,BUY,WMB,06/16/2014,spareflag
DISH,25.9999999999998,59.33,59.07,-100.0,SELL,DISH,06/17/2014,spareflag
DISH,27.000000000000313,59.34,59.07,-100.0,SELL,DISH,06/17/2014,spareflag
DISH,45.000000000000284,59.52,59.07,-100.0,SELL,DISH,06/17/2014,spareflag
DISH...JUL.19.2014....70.000.C,-2.500000000000002,0.6,0.575,1.0,BUY,DISH,06/17/2014,spareflag
DISH...JUL.19.2014....70.000.C,-12.50000000000001,0.6,0.575,5.0,BUY,DISH,06/17/2014,spareflag
DISH...JUL.19.2014....70.000.C,-12.50000000000001,0.6,0.575,5.0,BUY,DISH,06/17/2014,spareflag
DISH...JUL.19.2014....70.000.C,-75.00000000000007,0.65,0.575,10.0,BUY,DISH,06/17/2014,spareflag
GMCR,107.00000000000074,126.56,125.49,-100.0,SELL,GMCR,06/17/2014,spareflag
GMCR,138.00000000000097,126.87,125.49,-100.0,SELL,GMCR,06/17/2014,spareflag
GMCR,98.25000000000017,126.8,125.49,-75.0,SELL,GMCR,06/17/2014,spareflag
GMCR,32.75000000000006,126.8,125.49,-25.0,SELL,GMCR,06/17/2014,spareflag
GMCR,65.99999999999966,124.83,125.49,100.0,BUY,GMCR,06/17/2014,spareflag
GMCR,57.99999999999983,124.91,125.49,100.0,BUY,GMCR,06/17/2014,spareflag
GMCR,30.999999999998806,125.18,125.49,100.0,BUY,GMCR,06/17/2014,spareflag
GMCR,30.999999999998806,125.18,125.49,100.0,BUY,GMCR,06/17/2014,spareflag
GMCR...JUN.21.2014...127.000.C,-22.499999999999964,2.09,2.135,-5.0,SELL,GMCR,06/17/2014,spareflag
GMCR...JUN.21.2014...127.000.C,-22.499999999999964,2.09,2.135,-5.0,SELL,GMCR,06/17/2014,spareflag
GMCR...DEC.20.2014...140.000.C,-29.999999999999893,10.2,9.9,1.0,BUY,GMCR,06/17/2014,spareflag
GMCR...DEC.20.2014...140.000.C,-29.999999999999893,10.2,9.9,1.0,BUY,GMCR,06/17/2014,spareflag
GMCR...DEC.20.2014...145.000.C,-225.00000000000054,8.9,8.45,5.0,BUY,GMCR,06/17/2014,spareflag
IBN,-0.269999999999996,49.62,49.35,1.0,BUY,IBN,06/17/2014,spareflag
WMB,-65.99999999999966,57.97,57.31,100.0,BUY,WMB,06/17/2014,spareflag
WMB,-65.99999999999966,57.97,57.31,100.0,BUY,WMB,06/17/2014,spareflag
WMB,-65.99999999999966,57.97,57.31,100.0,BUY,WMB,06/17/2014,spareflag
WMB,-65.99999999999966,57.97,57.31,100.0,BUY,WMB,06/17/2014,spareflag
WMB,-65.99999999999966,57.97,57.31,100.0,BUY,WMB,06/17/2014,spareflag
WMB,-65.99999999999966,57.97,57.31,100.0,BUY,WMB,06/17/2014,spareflag
